input_name,normalized,slug,found,method,confidence,source_url,saved_path,variants_tried,error
sky sports tennis,sky tennis,sky_tennis,True,master_reuse:sky,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_tennis.jpg,sky,
sky sports racing,sky racing,sky_racing,True,master_reuse:sky,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_racing.jpg,sky,
tnt sports,tnt,tnt,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/7/7a/34._Ulica_-_TNT_Shows_-_Moving_Poles_-_20210904_1316_1954.jpg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\tnt.jpg,tnt,
sky sports news backup,sky news backup,sky_news_backup,True,master_reuse:sky,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_news_backup.jpg,sky,
sky sports main event backup,sky main event backup,sky_main_event_backup,True,master_reuse:sky,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_main_event_backup.jpg,sky,
sky sports cricket backup,sky cricket backup,sky_cricket_backup,True,master_reuse:sky,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_cricket_backup.jpg,sky,
sky sports action backup,sky action backup,sky_action_backup,True,master_reuse:sky,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_action_backup.jpg,sky,
sky sports golf backup,sky golf backup,sky_golf_backup,True,master_reuse:sky,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_golf_backup.jpg,sky,
sky sports premier league backup,sky premier league backup,sky_premier_league_backup,True,master_reuse:sky,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_premier_league_backup.jpg,sky,
sky sports f1 backup,sky f1 backup,sky_f1_backup,True,master_reuse:sky,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_f1_backup.jpg,sky,
sky sports + backup,sky + backup,sky_backup,True,master_reuse:sky,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_backup.jpg,sky,
sky sports football backup,sky football backup,sky_football_backup,True,master_reuse:sky,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_football_backup.jpg,sky,
sky sports mix backup,sky mix backup,sky_mix_backup,True,master_reuse:sky,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_mix_backup.jpg,sky,
sky sports tennis backup,sky tennis backup,sky_tennis_backup,True,master_reuse:sky,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_tennis_backup.jpg,sky,
tnt sports backup,tnt backup,tnt_backup,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/e/e8/A_Technical_Feasibility_Study_of_a_Green_Area_%28IA_atechnicalfeasib1094517394%29.pdf,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\tnt_backup.png,tnt backup,
sky sports news 720p,sky news 720p,sky_news_720p,True,master_reuse:sky,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_news_720p.jpg,sky,
sky sports main event 720p,sky main event 720p,sky_main_event_720p,True,master_reuse:sky,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_main_event_720p.jpg,sky,
sky sports cricket 720p,sky cricket 720p,sky_cricket_720p,True,master_reuse:sky,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_cricket_720p.jpg,sky,
sky sports action 720p,sky action 720p,sky_action_720p,True,master_reuse:sky,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_action_720p.jpg,sky,
sky sports golf 720p,sky golf 720p,sky_golf_720p,True,master_reuse:sky,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_golf_720p.jpg,sky,
sky sports premier league 720p,sky premier league 720p,sky_premier_league_720p,True,master_reuse:sky,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_premier_league_720p.jpg,sky,
sky sports f1 720p,sky f1 720p,sky_f1_720p,True,master_reuse:sky,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_f1_720p.jpg,sky,
sky sports + 720p,sky + 720p,sky_720p,True,master_reuse:sky,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_720p.jpg,sky,
sky sports football 720p,sky football 720p,sky_football_720p,True,master_reuse:sky,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_football_720p.jpg,sky,
sky sports mix 720p,sky mix 720p,sky_mix_720p,True,master_reuse:sky,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_mix_720p.jpg,sky,
sky sports tennis 720p,sky tennis 720p,sky_tennis_720p,True,master_reuse:sky,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_tennis_720p.jpg,sky,
sky sports racing 720p,sky racing 720p,sky_racing_720p,True,master_reuse:sky,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_racing_720p.jpg,sky,
tnt sports 720p,tnt 720p,tnt_720p,True,commons_search,0.7,https://upload.wikimedia.org/wikipedia/commons/7/7a/34._Ulica_-_TNT_Shows_-_Moving_Poles_-_20210904_1316_1954.jpg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\tnt_720p.jpg,tnt 720p | tnt,
eurosport,eurosport,eurosport,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/5/56/Eurosport_1994_logo.svg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\eurosport.svg,eurosport,
premier sports,premier,premier,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/5/5a/Premier_League.svg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\premier.svg,premier,
viaplay sports,viaplay,viaplay,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/1/12/Nordic_Entertainment_Group_logo.svg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\viaplay.svg,viaplay,
la liga tv,la liga,la_liga,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/f/f8/Lionel_Messi_in_a_La_Liga_match_at_Camp_Nou%2C_Barcelona_%28_Ank_Kumar%2C_Infosys_Limited%29_05.jpg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\la_liga.jpg,la liga,
mutv,mutv,mutv,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/e/e0/MUTV_Logo_Fall_2017.png,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\mutv.png,mutv,
lfctv,lfctv,lfctv,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/b/b7/Dios_hace_reyes_-_comedia_%28IA_A25018110%29.pdf,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\lfctv.png,lfctv,
racing tv,racing,racing,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/3/31/30th_St._Moritz_Polo_World_Cup_on_Snow_-_20140202_-_Cartier_vs_Ralph_Lauren_18.jpg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\racing.jpg,racing,
racing tv 720p,racing 720p,racing_720p,True,commons_search,0.7,https://upload.wikimedia.org/wikipedia/commons/3/31/30th_St._Moritz_Polo_World_Cup_on_Snow_-_20140202_-_Cartier_vs_Ralph_Lauren_18.jpg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\racing_720p.jpg,racing 720p | racing,
bloomberg,bloomberg,bloomberg,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/a/a2/Bloomberg_logo.png,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\bloomberg.png,bloomberg,
bbc world news,bbc world news,bbc_world_news,True,cache_exists,1.0,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\bbc_world_news.svg,,
sky news,sky news,sky_news,True,cache_exists,1.0,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_news.jpg,,
gb news,gb news,gb_news,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/0/0d/GB-News-Logo.png,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\gb_news.png,gb news,
talktv,talktv,talktv,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/b/bb/MTV_Canada_logo.svg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\talktv.svg,talktv,
cnn,cnn,cnn,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/3/3d/Convolutional-Neural-Network-Hindi.png,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\cnn.png,cnn,
bbc news,bbc news,bbc_news,True,cache_exists,1.0,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\bbc_news.svg,,
bbc parliament,bbc parliament,bbc_parliament,True,cache_exists,1.0,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\bbc_parliament.svg,,
bbc one,bbc one,bbc_one,True,cache_exists,1.0,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\bbc_one.svg,,
bbc two,bbc two,bbc_two,True,cache_exists,1.0,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\bbc_two.svg,,
bbc three,bbc three,bbc_three,True,cache_exists,1.0,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\bbc_three.svg,,
bbc four,bbc four,bbc_four,True,cache_exists,1.0,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\bbc_four.svg,,
bbc one iplayer,bbc one iplayer,bbc_one_iplayer,True,cache_exists,1.0,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\bbc_one_iplayer.svg,,
bbc two iplayer,bbc two iplayer,bbc_two_iplayer,True,cache_exists,1.0,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\bbc_two_iplayer.svg,,
bbc scotland,bbc scotl&,bbc_scotl,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/3/39/Lovell%27s_gazetteer_of_British_North_America_%28microform%29_-_containing_the_latest_and_most_authentic_description_of_over_8%2C900_cities%2C_towns%2C_villages_and_places_in_the_provinces_of_Ontario%2C_Quebec_%28IA_cihm_08903%29.pdf,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\bbc_scotl.png,bbc scotl&,
bbc one scotland,bbc one scotl&,bbc_one_scotl,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/3/39/Lovell%27s_gazetteer_of_British_North_America_%28microform%29_-_containing_the_latest_and_most_authentic_description_of_over_8%2C900_cities%2C_towns%2C_villages_and_places_in_the_provinces_of_Ontario%2C_Quebec_%28IA_cihm_08903%29.pdf,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\bbc_one_scotl.png,bbc one scotl&,
bbc alba,bbc alba,bbc_alba,True,cache_exists,1.0,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\bbc_alba.svg,,
bbc one northern ireland,bbc one northern irel&,bbc_one_northern_irel,True,commons_search,0.7,https://upload.wikimedia.org/wikipedia/commons/8/8b/BBC_One_logo_2021.svg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\bbc_one_northern_irel.svg,bbc one northern irel& | bbc one,
bbc two northern ireland,bbc two northern irel&,bbc_two_northern_irel,True,commons_search,0.7,https://upload.wikimedia.org/wikipedia/commons/1/15/BBC_Two_logo_2021.svg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\bbc_two_northern_irel.svg,bbc two northern irel& | bbc two,
bbc one wales,bbc one wales,bbc_one_wales,True,cache_exists,1.0,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\bbc_one_wales.svg,,
bbc two wales,bbc two wales,bbc_two_wales,True,cache_exists,1.0,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\bbc_two_wales.svg,,
s4c,s4c,s4c,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/1/13/PobolyCwm2018logo.jpg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\s4c.jpg,s4c,
itvbe,itvbe,itvbe,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/9/99/The_official_ITV_Quiz_logo.svg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\itvbe.svg,itvbe,
itv,itv,itv,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/5/53/Itv_logo.svg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\itv.svg,itv,
itv2,itv2,itv2,True,master_reuse:itv,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\itv2.svg,itv,
itv3,itv3,itv3,True,master_reuse:itv,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\itv3.svg,itv,
itv4,itv4,itv4,True,master_reuse:itv,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\itv4.svg,itv,
channel,channel,channel,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/7/7a/Baggerwerkzaamheden_op_de_Langwarder_Wielen_%2803-30-2018%29_01.jpg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\channel.jpg,channel,
rte news,rte news,rte_news,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/9/96/Fisher_Hill_on_Rte._11%2C_Shenandoah_Valley%2C_Va._%289257705174%29.jpg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\rte_news.jpg,rte news,
rte one,rte one,rte_one,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/1/1a/Combination_of_two_images%2C_one_each_from_Ingenuity%27s_Navigation_Camera_and_colour_camera_%28RTE%29.jpg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\rte_one.jpg,rte one,
rte two,rte two,rte_two,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/8/8f/Network_2_%28Ireland%29_1997_%E2%80%93_2004_logo.svg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\rte_two.svg,rte two,
rte junior,rte junior,rte_junior,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/5/5b/Junior_Christian_endeavor_songs_%28IA_juniorchristiane00sank_0%29.pdf,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\rte_junior.png,rte junior,
tg4,tg4,tg4,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/0/06/TG4_logo.svg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\tg4.svg,tg4,
virgin media one,virgin media one,virgin_media_one,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/4/46/TV3-Logo.svg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\virgin_media_one.svg,virgin media one,
virgin media two,virgin media two,virgin_media_two,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/7/74/3e_leone_dell%27arsenale.jpg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\virgin_media_two.jpg,virgin media two,
virgin media three,virgin media three,virgin_media_three,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/4/4f/French_-_Virgin_and_Child_-_Walters_71243_-_Three_Quarter.jpg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\virgin_media_three.jpg,virgin media three,
cbbc,cbbc,cbbc,True,cache_exists,1.0,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\cbbc.svg,,
cbeebies,cbeebies,cbeebies,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/b/b5/CBeebies_2023.svg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\cbeebies.svg,cbeebies,
baby tv,baby,baby,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/6/63/Broke%2C_baby_sick%2C_and_car_trouble%21_-_Dorothea_Langes_photo_of_a_Missouri_family_of_five_in_the_vicinity_of_Tracy%2C_California.jpg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\baby.jpg,baby,
cartoon,cartoon,cartoon,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/d/dd/Muybridge_race_horse_animated.gif,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\cartoon.png,cartoon,
nick,nick,nick,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/c/ca/Aegires_gardineri_Papua_New_Guinea_by_Nick_Hobgood-001.jpg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\nick.jpg,nick,
nick junior,nick junior,nick_junior,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/9/9b/Nick_Jr._Channel_logo_%282023%29.png,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\nick_junior.png,nick junior,
nick jr,nick jr,nick_jr,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/2/21/Nick_Jr._logo_2023_%28alternative%29.png,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\nick_jr.png,nick jr,
nicktoons,nicktoons,nicktoons,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/6/61/Nicktoons_UK_Logo_2010.svg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\nicktoons.svg,nicktoons,
pop,pop,pop,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/3/30/Seattle_%28WA%2C_USA%29%2C_Museum_of_Pop_Culture%2C_Fassade_--_2022_--_1588.jpg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\pop.jpg,pop,
pop max,pop,pop,True,cache_exists,1.0,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\pop.jpg,,
disney,disney,disney,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/a/a2/Disney%2B_locations.svg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\disney.svg,disney,
disney junior,disney junior,disney_junior,True,master_reuse:disney,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\disney_junior.svg,disney,
disney xd,disney xd,disney_xd,True,master_reuse:disney,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\disney_xd.svg,disney,
universal kids,universal kids,universal_kids,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/c/cc/Universal_Kids_Logo.png,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\universal_kids.png,universal kids,
boomerang,boomerang,boomerang,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/3/35/Boomerang_2014_logo.svg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\boomerang.svg,boomerang,
stv,stv,stv,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/b/b6/STV_North_2015_locator_map.svg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\stv.svg,stv,
utv,utv,utv,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/6/6e/CFMoto_ZForce%2C_Ribnitz-Damgarten_%28P1060445%29_%28cropped%29.jpg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\utv.jpg,utv,
comedy central,comedy central,comedy_central,True,cache_exists,1.0,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\comedy_central.svg,,
more,more,more,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/3/30/Moor%C3%A9_%28Mossi%29_language_text_in_Ziga%2C_Sanmatenga%2C_Centre-Nord%2C_Burkina_Faso%2C_1981.tiff,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\more.png,more,
seven,seven,seven,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/2/2f/Seven_Sisters_3.jpg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\seven.jpg,seven,
film,film,film,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/d/dd/Muybridge_race_horse_animated.gif,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\film.png,film,
e4,e4,e4,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/c/ca/E4_European_long_distance_path_in_Ano_Doliana%2C_Arcadia%2C_Greece.jpg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\e4.jpg,e4,
5action,5action,5action,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/5/59/Boston_Public_Library_Anti-Slavery_Collection_%28IA_speechofrevsamue00mays%29.pdf,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\5action.png,5action,
5select,5select,5select,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/c/c6/5Select_logo.png,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\5select.png,5select,
5star,5star,5star,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/7/74/Call_It_A_Fiver_Logo.png,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\5star.png,5star,
5usa,5usa,5usa,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/0/06/5USA_logo.svg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\5usa.svg,5usa,
legend,legend,legend,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/8/85/Wien%2C_Desider-Friedmann-Platz%2C_Gedenktafel_--_2018_--_3103.jpg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\legend.jpg,legend,
legend xtra,legend xtra,legend_xtra,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/7/71/Emilia_1994_path.png,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\legend_xtra.png,legend xtra,
movies,movies,movies,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/d/dd/Muybridge_race_horse_animated.gif,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\movies.png,movies,
alibi,alibi,alibi,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/e/ec/Alibi_1955_Logo_001.svg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\alibi.svg,alibi,
dave,dave,dave,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/1/13/Nationale_finale_van_het_Eurovisie_Songfestival_in_Scheveningen_nr._17_Dave%2C_Bestanddeelnr_922-1434.jpg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\dave.jpg,dave,
eden,eden,eden,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/4/45/Garden_of_Eden_ArchesNP_MC.jpg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\eden.jpg,eden,
gold,gold,gold,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/6/60/Gold_chain_with_gemstones_and_enamel%2C_late_16th_century%2C_The_Royal_Armoury%2C_Sweden.jpg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\gold.jpg,gold,
watch,watch,watch,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/4/4c/Longines_4_Grand_Prix_pocket_watch_-_clockwork_visible_-_enhanced_resolution_DSF3402-PSMS.jpg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\watch.jpg,watch,
yesterday,yesterday,yesterday,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/f/fd/%22Yesterday%22_-_Paul_McCartney_-_ON_THE_RUN_-_Uruguay%2C_2012-04-16.jpg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\yesterday.jpg,yesterday,
great! tv,great!,great,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/4/45/Great_Seal_of_the_United_States_%28reverse%29.svg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\great.svg,great!,
great! movies,great! movies,great_movies,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/8/8f/Photo_from_The_Great_Ziegfeld_1936.jpg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\great_movies.jpg,great! movies,
great! action,great! action,great_action,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/7/7d/Great-action-logo.png,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\great_action.png,great! action,
great! romance,great! romance,great_romance,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/7/72/Americans_all_-_a_romance_of_the_great_war_%28IA_americansallroma00driv%29.pdf,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\great_romance.png,great! romance,
challenge,challenge,challenge,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/9/9f/Challenger_explosion.jpg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\challenge.jpg,challenge,
tlc,tlc,tlc,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/7/74/TLC_Logo.svg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\tlc.svg,tlc,
mtv,mtv,mtv,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/0/0d/MTV-2021.svg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\mtv.svg,mtv,
